DATE,UNEM_RATE,MORTGAGE,GDPC1,FORECLOSURES,HPI
2000-01-01,4.03,8.26,12935.252,1.95,101.34
2000-04-01,3.93,8.32,13170.749,1.97,103.67
2000-07-01,4,8.02,13183.89,2.09,105.79
2000-10-01,3.9,7.62,13262.25,2.23,108.27
2001-01-01,4.23,7.01,13219.251,2.34,110.48
2001-04-01,4.4,7.13,13301.394,2.41,112.2
2001-07-01,4.83,6.96,13248.142,2.18,114.16
2001-10-01,5.5,6.77,13284.881,2.25,115.87
2002-01-01,5.7,6.97,13394.91,2.24,117.89
2002-04-01,5.83,6.81,13477.356,2.16,120.72
2002-07-01,5.73,6.29,13531.741,2.1,123.83
2002-10-01,5.87,6.08,13549.421,2,126.67
2003-01-01,5.87,5.84,13619.434,1.97,129.32
2003-04-01,6.13,5.51,13741.107,1.83,131.76
2003-07-01,6.13,6.03,13970.157,1.73,135.01
2003-10-01,5.83,5.92,14131.379,1.76,138.83
2004-01-01,5.7,5.6,14212.34,1.65,143.3
2004-04-01,5.6,6.11,14323.017,1.6,148.21
2004-07-01,5.43,5.89,14457.832,1.55,152.72
2004-10-01,5.43,5.74,14605.595,1.42,157.54
2005-01-01,5.3,5.77,14767.846,1.41,163.48
2005-04-01,5.1,5.71,14839.707,1.55,169.35
2005-07-01,4.97,5.76,14956.291,1.59,174.58
2005-10-01,4.97,6.23,15041.232,1.64,179.54
2006-01-01,4.73,6.25,15244.088,1.61,183.32
2006-04-01,4.63,6.6,15281.525,1.62,184
2006-07-01,4.63,6.56,15304.517,1.74,182.82
2006-10-01,4.43,6.24,15433.643,1.92,183.65
2007-01-01,4.5,6.21,15478.956,2.08,184.42
2007-04-01,4.5,6.36,15577.779,2.3,181.62
2007-07-01,4.67,6.55,15671.605,2.71,178.26
2007-10-01,4.8,6.22,15767.146,3.1,175.37
2008-01-01,5,5.87,15702.906,3.68,171.58
2008-04-01,5.33,6.09,15792.773,4.36,166.67
2008-07-01,6,6.32,15709.562,5.27,161.96
2008-10-01,6.87,5.84,15366.607,6.58,156.03
2009-01-01,8.27,5.06,15187.475,8.02,150.06
2009-04-01,9.3,5.01,15161.772,8.58,147.91
2009-07-01,9.63,5.16,15216.647,9.46,148.24
2009-10-01,9.93,4.92,15379.155,10.36,147.97
2010-01-01,9.83,5,15456.059,11.54,146.29
2010-04-01,9.63,4.92,15605.628,11.08,146.17
2010-07-01,9.47,4.45,15726.282,10.61,143.97
2010-10-01,9.5,4.44,15807.995,10.37,142.25
2011-01-01,9.03,4.85,15769.911,10.33,140.62
2011-04-01,9.07,4.65,15876.839,10.54,139.93
2011-07-01,9,4.29,15870.684,10.54,139.24
2011-10-01,8.63,4,16048.702,10.26,137.26
2012-01-01,8.27,3.92,16179.968,10.34,137.02
2012-04-01,8.2,3.79,16253.726,10.45,140.12
2012-07-01,8.03,3.55,16282.151,10.47,142.29
2012-10-01,7.8,3.36,16300.035,10.01,144.56
2013-01-01,7.73,3.5,16441.485,9.74,148.19
2013-04-01,7.53,3.67,16464.402,9.32,152.86
2013-07-01,7.23,4.44,16594.743,8.65,156.94
2013-10-01,6.93,4.29,16712.76,8.29,160.11
2014-01-01,6.67,4.36,16654.247,7.78,162.52
2014-04-01,6.2,4.23,16868.109,7.43,163.71
2014-07-01,6.07,4.14,17064.616,7.05,165.24
2014-10-01,5.7,3.96,17141.235,6.5,167.35
2015-01-01,5.53,3.72,17280.647,6.24,169.21
2015-04-01,5.43,3.82,17380.875,5.82,170.9
2015-07-01,5.1,3.95,17437.08,5.39,172.98
2015-10-01,5.03,3.9,17462.579,5.1,175.71
2016-01-01,4.9,3.74,17565.465,4.78,177.71
2016-04-01,4.93,3.59,17618.581,4.59,179.47
2016-07-01,4.9,3.45,17724.489,4.39,181.88
2016-10-01,4.77,3.84,17812.56,4.15,184.74
2017-01-01,4.57,4.17,17896.623,3.9,187.37
2017-04-01,4.4,3.98,17996.802,3.68,189.72
2017-07-01,4.3,3.88,18126.226,3.64,192.72
2017-10-01,4.13,3.92,18296.685,3.57,195.91
2018-01-01,4.03,4.28,18436.262,3.49,199.11
2018-04-01,3.93,4.54,18590.004,3.22,201.68
2018-07-01,3.77,4.57,18679.599,2.97,203.79
2018-10-01,3.83,4.78,18721.281,2.83,205.44
2019-01-01,3.87,4.37,18833.195,2.7,206.69
2019-04-01,3.67,4.01,18982.528,2.61,208.56
2019-07-01,3.6,3.66,19112.653,2.42,210.33
2019-10-01,3.6,3.7,19202.31,2.34,212.47
2020-01-01,3.8,3.52,18951.992,2.36,215.51
2020-04-01,13.07,3.24,17258.205,2.55,217.89
2020-07-01,8.8,2.95,18560.774,2.8,222.84
2020-10-01,6.77,2.76,18767.778,2.74,232.55